Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure,Total_Children,Total_Spending
Graduation,Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,68,663,0,1617
Graduation,Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,71,113,2,27
Graduation,In_Relationship,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,60,312,0,776
Graduation,In_Relationship,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,41,139,1,53
PhD,In_Relationship,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,44,161,1,422
Postgraduate,In_Relationship,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,58,293,1,716
Graduation,Single,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,54,593,1,590
PhD,In_Relationship,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,40,417,1,169
PhD,In_Relationship,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,51,388,1,46
PhD,In_Relationship,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,75,108,2,49
Graduation,In_Relationship,51381.5,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,42,226,1,19
Basic,In_Relationship,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,49,593,0,61
Graduation,Single,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,66,226,0,1102
Postgraduate,Single,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,73,226,2,310
Graduation,In_Relationship,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38,627,0,46
PhD,Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,79,582,0,1315
Graduation,In_Relationship,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,45,552,2,96
Graduation,In_Relationship,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,79,667,0,317
Postgraduate,In_Relationship,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,76,458,1,1782
Postgraduate,Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,40,603,1,133
Graduation,In_Relationship,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,43,690,0,316
Graduation,In_Relationship,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46,539,1,1730
PhD,In_Relationship,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,76,553,1,972
PhD,In_Relationship,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,71,169,1,544
Graduation,In_Relationship,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,468,1,444
Graduation,Single,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,56,543,0,75
Graduation,In_Relationship,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,49,398,2,257
Graduation,Single,51381.5,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,39,494,1,637
Graduation,In_Relationship,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,36,394,1,131
PhD,In_Relationship,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,60,219,0,1672
Postgraduate,Single,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,36,38,0,30
Postgraduate,In_Relationship,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,414,0,318
Graduation,In_Relationship,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,55,627,1,120
PhD,Single,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,73,608,2,302
Postgraduate,In_Relationship,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,79,494,0,1196
Postgraduate,Single,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,74,304,2,65
PhD,In_Relationship,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,55,180,1,913
Postgraduate,In_Relationship,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,49,300,1,81
Graduation,Single,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,138,1,67
PhD,Single,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,82,513,0,902
Graduation,In_Relationship,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,45,426,1,1395
Postgraduate,In_Relationship,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40,474,1,53
Graduation,In_Relationship,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,68,552,1,22
PhD,Single,51381.5,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,66,236,0,186
Postgraduate,In_Relationship,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,50,270,1,31
Graduation,Single,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,49,1,0,984
Postgraduate,In_Relationship,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,29,597,0,122
Graduation,In_Relationship,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,57,401,1,55
